YR_M,Bronx Precinct,BRONX_precinct_Crime_Cnt
2016-10,47.0,906
2016-10,48.0,716
2016-10,49.0,531
2016-10,50.0,409
2016-10,52.0,874
2016-11,40.0,971
2016-11,41.0,518
2016-11,42.0,627
2016-11,43.0,819
2016-11,44.0,881
2016-11,45.0,465
2016-11,46.0,726
2016-11,47.0,790
2016-11,48.0,615
2016-11,49.0,539
2016-11,50.0,365
2016-11,52.0,810
2016-12,40.0,918
2016-12,41.0,494
2016-12,42.0,667
2016-12,43.0,982
2016-12,44.0,940
2016-12,45.0,525
2016-12,46.0,657
2016-12,47.0,845
2016-12,48.0,600
2016-12,49.0,573
2016-12,50.0,350
2016-12,52.0,792
2017-01,40.0,1025
2017-01,41.0,567
2017-01,42.0,662
2017-01,43.0,893
2017-01,44.0,1003
2017-01,45.0,490
2017-01,46.0,731
2017-01,47.0,829
2017-01,48.0,680
2017-01,49.0,525
2017-01,50.0,372
2017-01,52.0,816
2017-01,67.0,1
2017-02,40.0,860
2017-02,41.0,462
2017-02,42.0,534
2017-02,43.0,761
2017-02,44.0,864
2017-02,45.0,403
2017-02,46.0,624
2017-02,47.0,693
2017-02,48.0,557
2017-02,49.0,472
2017-02,50.0,301
2017-02,52.0,703
2017-03,40.0,966
2017-03,41.0,513
2017-03,42.0,600
2017-03,43.0,886
2017-03,44.0,941
2017-03,45.0,505
2017-03,46.0,705
2017-03,47.0,876
2017-03,48.0,607
2017-03,49.0,495
2017-03,50.0,341
2017-03,52.0,780
2017-04,40.0,1024
2017-04,41.0,501
2017-04,42.0,593
2017-04,43.0,898
2017-04,44.0,922
2017-04,45.0,478
2017-04,46.0,671
2017-04,47.0,844
2017-04,48.0,633
2017-04,49.0,525
2017-04,50.0,365
2017-04,52.0,790
2017-05,40.0,1014
2017-05,41.0,595
2017-05,42.0,683
2017-05,43.0,1000
2017-05,44.0,994
2017-05,45.0,484
2017-05,46.0,720
2017-05,47.0,923
2017-05,48.0,618
2017-05,49.0,621
2017-05,50.0,393
2017-05,52.0,849
2017-06,40.0,1020
2017-06,41.0,580
2017-06,42.0,667
2017-06,43.0,1066
2017-06,44.0,1041
2017-06,45.0,552
2017-06,46.0,731
2017-06,47.0,885
2017-06,48.0,684
2017-06,49.0,532
2017-06,50.0,370
2017-06,52.0,841
2017-07,40.0,1029
2017-07,41.0,591
2017-07,42.0,744
2017-07,43.0,923
2017-07,44.0,1027
2017-07,45.0,532
2017-07,46.0,704
2017-07,47.0,849
2017-07,48.0,738
2017-07,49.0,546
2017-07,50.0,353
2017-07,52.0,885
2017-08,40.0,1049
2017-08,41.0,543
2017-08,42.0,741
2017-08,43.0,1033
2017-08,44.0,1051
2017-08,45.0,515
2017-08,46.0,731
2017-08,47.0,864
2017-08,48.0,730
2017-08,49.0,570
2017-08,50.0,333
2017-08,52.0,878
2017-09,40.0,986
2017-09,41.0,548
2017-09,42.0,695
2017-09,43.0,889
2017-09,44.0,916
2017-09,45.0,526
2017-09,46.0,752
2017-09,47.0,826
2017-09,48.0,698
2017-09,49.0,604
2017-09,50.0,374
2017-09,52.0,906
2017-10,40.0,1052
2017-10,41.0,560
2017-10,42.0,734
2017-10,43.0,967
2017-10,44.0,956
2017-10,45.0,549
2017-10,46.0,786
2017-10,47.0,858
2017-10,48.0,740
2017-10,49.0,589
2017-10,50.0,387
2017-10,52.0,893
2017-11,40.0,1007
2017-11,41.0,523
2017-11,42.0,639
2017-11,43.0,835
2017-11,44.0,889
2017-11,45.0,474
2017-11,46.0,679
2017-11,47.0,804
2017-11,48.0,606
2017-11,49.0,547
2017-11,50.0,303
2017-11,52.0,816
2017-12,40.0,821
2017-12,41.0,432
2017-12,42.0,578
2017-12,43.0,785
2017-12,44.0,838
2017-12,45.0,478
2017-12,46.0,645
2017-12,47.0,737
2017-12,48.0,549
2017-12,49.0,449
2017-12,50.0,312
2017-12,52.0,659
