YR_M,Queens Precinct,QUEENS_precinct_Crime_Cnt
2014-06,113.0,726
2014-06,114.0,810
2014-06,115.0,730
2014-07,100.0,285
2014-07,101.0,412
2014-07,102.0,558
2014-07,103.0,804
2014-07,104.0,617
2014-07,105.0,621
2014-07,106.0,532
2014-07,107.0,399
2014-07,108.0,473
2014-07,109.0,729
2014-07,110.0,630
2014-07,111.0,228
2014-07,112.0,333
2014-07,113.0,757
2014-07,114.0,897
2014-07,115.0,761
2014-08,100.0,289
2014-08,101.0,400
2014-08,102.0,530
2014-08,103.0,749
2014-08,104.0,550
2014-08,105.0,660
2014-08,106.0,526
2014-08,107.0,414
2014-08,108.0,457
2014-08,109.0,741
2014-08,110.0,661
2014-08,111.0,232
2014-08,112.0,333
2014-08,113.0,872
2014-08,114.0,824
2014-08,115.0,809
2014-09,100.0,241
2014-09,101.0,407
2014-09,102.0,483
2014-09,103.0,738
2014-09,104.0,575
2014-09,105.0,643
2014-09,106.0,525
2014-09,107.0,445
2014-09,108.0,451
2014-09,109.0,675
2014-09,110.0,625
2014-09,111.0,222
2014-09,112.0,292
2014-09,113.0,725
2014-09,114.0,859
2014-09,115.0,694
2014-10,100.0,247
2014-10,101.0,356
2014-10,102.0,573
2014-10,103.0,729
2014-10,104.0,614
2014-10,105.0,657
2014-10,106.0,596
2014-10,107.0,408
2014-10,108.0,487
2014-10,109.0,719
2014-10,110.0,610
2014-10,111.0,296
2014-10,112.0,330
2014-10,113.0,744
2014-10,114.0,828
2014-10,115.0,682
2014-11,100.0,189
2014-11,101.0,315
2014-11,102.0,460
2014-11,103.0,700
2014-11,104.0,520
2014-11,105.0,584
2014-11,106.0,492
2014-11,107.0,386
2014-11,108.0,347
2014-11,109.0,590
2014-11,110.0,519
2014-11,111.0,233
2014-11,112.0,313
2014-11,113.0,652
2014-11,114.0,721
2014-11,115.0,588
2014-12,100.0,197
2014-12,101.0,353
2014-12,102.0,465
2014-12,103.0,608
2014-12,104.0,433
2014-12,105.0,558
2014-12,106.0,506
2014-12,107.0,365
2014-12,108.0,407
2014-12,109.0,650
2014-12,110.0,505
2014-12,111.0,232
2014-12,112.0,277
2014-12,113.0,652
2014-12,114.0,675
2014-12,115.0,559
2015-01,100.0,161
2015-01,101.0,315
2015-01,102.0,448
2015-01,103.0,634
2015-01,104.0,474
2015-01,105.0,545
2015-01,106.0,447
2015-01,107.0,365
2015-01,108.0,327
2015-01,109.0,537
2015-01,110.0,515
2015-01,111.0,205
2015-01,112.0,273
2015-01,113.0,664
2015-01,114.0,659
2015-01,115.0,545
2015-02,100.0,152
2015-02,101.0,280
2015-02,102.0,384
2015-02,103.0,569
2015-02,104.0,390
2015-02,105.0,538
2015-02,106.0,420
2015-02,107.0,293
2015-02,108.0,339
2015-02,109.0,492
2015-02,110.0,479
2015-02,111.0,192
2015-02,112.0,219
2015-02,113.0,573
2015-02,114.0,614
2015-02,115.0,509
2015-03,100.0,212
2015-03,101.0,333
2015-03,102.0,478
2015-03,103.0,645
2015-03,104.0,493
2015-03,105.0,620
2015-03,106.0,406
2015-03,107.0,370
2015-03,108.0,440
2015-03,109.0,557
2015-03,110.0,534
2015-03,111.0,202
2015-03,112.0,248
2015-03,113.0,646
2015-03,114.0,714
2015-03,115.0,633
2015-04,100.0,225
2015-04,101.0,343
2015-04,102.0,424
2015-04,103.0,744
2015-04,104.0,524
2015-04,105.0,622
2015-04,106.0,459
2015-04,107.0,402
2015-04,108.0,390
2015-04,109.0,625
2015-04,110.0,592
2015-04,111.0,191
2015-04,112.0,285
2015-04,113.0,641
2015-04,114.0,815
2015-04,115.0,564
2015-05,100.0,226
2015-05,101.0,331
2015-05,102.0,556
2015-05,103.0,735
2015-05,104.0,523
2015-05,105.0,628
2015-05,106.0,538
2015-05,107.0,387
2015-05,108.0,403
2015-05,109.0,707
2015-05,110.0,607
2015-05,111.0,242
2015-05,112.0,327
2015-05,113.0,714
2015-05,114.0,779
2015-05,115.0,657
2015-06,100.0,246
2015-06,101.0,451
2015-06,102.0,530
2015-06,103.0,712
2015-06,104.0,540
2015-06,105.0,641
2015-06,106.0,495
2015-06,107.0,345
2015-06,108.0,374
2015-06,109.0,721
2015-06,110.0,555
2015-06,111.0,242
2015-06,112.0,280
2015-06,113.0,724
2015-06,114.0,746
2015-06,115.0,668
2015-07,100.0,302
2015-07,101.0,448
2015-07,102.0,573
2015-07,103.0,794
2015-07,104.0,529
2015-07,105.0,646
2015-07,106.0,544
2015-07,107.0,442
2015-07,108.0,474
2015-07,109.0,641
2015-07,110.0,564
2015-07,111.0,249
2015-07,112.0,275
2015-07,113.0,821
2015-07,114.0,822
2015-07,115.0,711
2015-08,100.0,286
2015-08,101.0,474
2015-08,102.0,570
2015-08,103.0,807
2015-08,104.0,536
2015-08,105.0,701
2015-08,106.0,544
2015-08,107.0,352
2015-08,108.0,402
2015-08,109.0,706
