YR_M,Brooklyn Precinct,BROOKLYN_precinct_Crime_Cnt
2014-08,81.0,589
2014-08,83.0,627
2014-08,84.0,458
2014-08,88.0,364
2014-08,90.0,596
2014-08,94.0,381
2014-08,106.0,1
2014-09,60.0,516
2014-09,61.0,464
2014-09,62.0,496
2014-09,63.0,395
2014-09,66.0,363
2014-09,67.0,861
2014-09,68.0,398
2014-09,69.0,435
2014-09,70.0,693
2014-09,71.0,614
2014-09,72.0,446
2014-09,73.0,912
2014-09,75.0,1628
2014-09,76.0,232
2014-09,77.0,620
2014-09,78.0,334
2014-09,79.0,657
2014-09,81.0,529
2014-09,83.0,598
2014-09,84.0,438
2014-09,88.0,388
2014-09,90.0,556
2014-09,94.0,338
2014-10,60.0,602
2014-10,61.0,548
2014-10,62.0,570
2014-10,63.0,437
2014-10,66.0,404
2014-10,67.0,924
2014-10,68.0,460
2014-10,69.0,436
2014-10,70.0,656
2014-10,71.0,624
2014-10,72.0,505
2014-10,73.0,866
2014-10,75.0,1621
2014-10,76.0,235
2014-10,77.0,687
2014-10,78.0,393
2014-10,79.0,619
2014-10,81.0,573
2014-10,83.0,589
2014-10,84.0,475
2014-10,88.0,392
2014-10,90.0,586
2014-10,94.0,356
2014-11,60.0,447
2014-11,61.0,427
2014-11,62.0,503
2014-11,63.0,388
2014-11,66.0,332
2014-11,67.0,734
2014-11,68.0,411
2014-11,69.0,399
2014-11,70.0,583
2014-11,71.0,576
2014-11,72.0,443
2014-11,73.0,703
2014-11,75.0,1279
2014-11,76.0,173
2014-11,77.0,515
2014-11,78.0,327
2014-11,79.0,576
2014-11,81.0,425
2014-11,83.0,511
2014-11,84.0,380
2014-11,88.0,342
2014-11,90.0,493
2014-11,94.0,294
2014-12,60.0,442
2014-12,61.0,493
2014-12,62.0,504
2014-12,63.0,352
2014-12,66.0,366
2014-12,67.0,787
2014-12,68.0,342
2014-12,69.0,355
2014-12,70.0,545
2014-12,71.0,509
2014-12,72.0,417
2014-12,73.0,638
2014-12,75.0,1163
2014-12,76.0,171
2014-12,77.0,489
2014-12,78.0,312
2014-12,79.0,509
2014-12,81.0,452
2014-12,83.0,491
2014-12,84.0,375
2014-12,88.0,300
2014-12,90.0,462
2014-12,94.0,238
2015-01,60.0,439
2015-01,61.0,551
2015-01,62.0,457
2015-01,63.0,345
2015-01,66.0,353
2015-01,67.0,699
2015-01,68.0,320
2015-01,69.0,339
2015-01,70.0,534
2015-01,71.0,587
2015-01,72.0,419
2015-01,73.0,680
2015-01,75.0,1159
2015-01,76.0,168
2015-01,77.0,475
2015-01,78.0,271
2015-01,79.0,514
2015-01,81.0,434
2015-01,83.0,521
2015-01,84.0,389
2015-01,88.0,246
2015-01,90.0,457
2015-01,94.0,292
2015-02,60.0,367
2015-02,61.0,354
2015-02,62.0,391
2015-02,63.0,266
2015-02,66.0,249
2015-02,67.0,639
2015-02,68.0,338
2015-02,69.0,250
2015-02,70.0,460
2015-02,71.0,456
2015-02,72.0,353
2015-02,73.0,665
2015-02,75.0,1058
2015-02,76.0,173
2015-02,77.0,432
2015-02,78.0,229
2015-02,79.0,451
2015-02,81.0,343
2015-02,83.0,391
2015-02,84.0,277
2015-02,88.0,234
2015-02,90.0,400
2015-02,94.0,224
2015-03,60.0,435
2015-03,61.0,399
2015-03,62.0,477
2015-03,63.0,370
2015-03,66.0,367
2015-03,67.0,795
2015-03,68.0,362
2015-03,69.0,355
2015-03,70.0,601
2015-03,71.0,569
2015-03,72.0,416
2015-03,73.0,783
2015-03,75.0,1325
2015-03,76.0,187
2015-03,77.0,555
2015-03,78.0,291
2015-03,79.0,547
2015-03,81.0,443
2015-03,83.0,522
2015-03,84.0,383
2015-03,88.0,313
2015-03,90.0,557
2015-03,94.0,262
2015-04,60.0,492
2015-04,61.0,458
2015-04,62.0,489
2015-04,63.0,418
2015-04,66.0,386
2015-04,67.0,796
2015-04,68.0,418
2015-04,69.0,371
2015-04,70.0,648
2015-04,71.0,508
2015-04,72.0,465
2015-04,73.0,806
2015-04,75.0,1349
2015-04,76.0,214
2015-04,77.0,556
2015-04,78.0,314
2015-04,79.0,594
2015-04,81.0,480
2015-04,83.0,475
2015-04,84.0,420
2015-04,88.0,327
2015-04,90.0,557
2015-04,94.0,275
2015-05,60.0,629
2015-05,61.0,546
2015-05,62.0,536
2015-05,63.0,436
2015-05,66.0,407
2015-05,67.0,979
2015-05,68.0,416
2015-05,69.0,422
2015-05,70.0,679
2015-05,71.0,567
2015-05,72.0,473
2015-05,73.0,914
2015-05,75.0,1438
2015-05,76.0,247
2015-05,77.0,567
2015-05,78.0,333
2015-05,79.0,603
2015-05,81.0,522
2015-05,83.0,533
2015-05,84.0,446
2015-05,88.0,315
2015-05,90.0,602
2015-05,94.0,376
2015-06,60.0,581
2015-06,61.0,460
2015-06,62.0,481
2015-06,63.0,413
2015-06,66.0,388
2015-06,67.0,854
2015-06,68.0,398
2015-06,69.0,397
2015-06,70.0,709
2015-06,71.0,567
2015-06,72.0,420
2015-06,73.0,877
2015-06,75.0,1496
2015-06,76.0,255
2015-06,77.0,577
2015-06,78.0,348
2015-06,79.0,588
2015-06,81.0,522
2015-06,83.0,614
2015-06,84.0,434
2015-06,88.0,309
2015-06,90.0,604
2015-06,94.0,348
2015-06,104.0,1
2015-07,60.0,777
2015-07,61.0,458
2015-07,62.0,534
2015-07,63.0,461
2015-07,66.0,419
2015-07,67.0,930
2015-07,68.0,456
2015-07,69.0,404
2015-07,70.0,691
2015-07,71.0,640
2015-07,72.0,477
2015-07,73.0,914
2015-07,75.0,1476
2015-07,76.0,239
2015-07,77.0,572
2015-07,78.0,349
2015-07,79.0,613
2015-07,81.0,553
2015-07,83.0,531
2015-07,84.0,478
2015-07,88.0,349
2015-07,90.0,610
2015-07,94.0,366
2015-08,60.0,738
2015-08,61.0,489
2015-08,62.0,540
2015-08,63.0,498
2015-08,66.0,414
2015-08,67.0,927
2015-08,68.0,486
2015-08,69.0,469
2015-08,70.0,661
2015-08,71.0,637
2015-08,72.0,528
2015-08,73.0,953
2015-08,75.0,1521
2015-08,76.0,231
2015-08,77.0,599
2015-08,78.0,384
2015-08,79.0,608
2015-08,81.0,526
2015-08,83.0,589
2015-08,84.0,471
2015-08,88.0,346
2015-08,90.0,621
2015-08,94.0,340
2015-09,60.0,528
2015-09,61.0,439
2015-09,62.0,496
2015-09,63.0,436
2015-09,66.0,417
2015-09,67.0,859
2015-09,68.0,412
2015-09,69.0,427
2015-09,70.0,593
2015-09,71.0,587
2015-09,72.0,459
2015-09,73.0,832
2015-09,75.0,1436
2015-09,76.0,194
2015-09,77.0,620
2015-09,78.0,339
2015-09,79.0,578
2015-09,81.0,509
2015-09,83.0,558
2015-09,84.0,427
2015-09,88.0,343
2015-09,90.0,588
2015-09,94.0,327
2015-10,60.0,524
2015-10,61.0,476
2015-10,62.0,490
2015-10,63.0,443
2015-10,66.0,416
2015-10,67.0,779
2015-10,68.0,423
2015-10,69.0,408
2015-10,70.0,636
2015-10,71.0,594
2015-10,72.0,404
2015-10,73.0,801
2015-10,75.0,1355
2015-10,76.0,225
2015-10,77.0,510
2015-10,78.0,348
2015-10,79.0,529
2015-10,81.0,463
2015-10,83.0,523
2015-10,84.0,432
2015-10,88.0,343
2015-10,90.0,620
2015-10,94.0,321
2015-11,60.0,483
2015-11,61.0,451
2015-11,62.0,490
2015-11,63.0,430
2015-11,66.0,373
2015-11,67.0,801
2015-11,68.0,422
2015-11,69.0,382
2015-11,70.0,659
2015-11,71.0,600
2015-11,72.0,426
2015-11,73.0,762
2015-11,75.0,1259
2015-11,76.0,188
2015-11,77.0,505
2015-11,78.0,346
2015-11,79.0,539
2015-11,81.0,428
2015-11,83.0,477
2015-11,84.0,384
2015-11,88.0,322
2015-11,90.0,517
2015-11,94.0,330
2015-12,60.0,436
2015-12,61.0,464
2015-12,62.0,506
2015-12,63.0,480
2015-12,66.0,413
2015-12,67.0,798
2015-12,68.0,396
2015-12,69.0,420
2015-12,70.0,647
2015-12,71.0,611
2015-12,72.0,444
2015-12,73.0,690
2015-12,75.0,1229
2015-12,76.0,205
2015-12,77.0,491
2015-12,78.0,336
2015-12,79.0,548
2015-12,81.0,447
2015-12,83.0,492
2015-12,84.0,416
2015-12,88.0,301
2015-12,90.0,487
2015-12,94.0,278
2016-01,60.0,452
2016-01,61.0,502
2016-01,62.0,434
2016-01,63.0,404
2016-01,66.0,328
2016-01,67.0,821
2016-01,68.0,401
2016-01,69.0,390
2016-01,70.0,610
2016-01,71.0,582
2016-01,72.0,415
2016-01,73.0,697
2016-01,75.0,1159
2016-01,76.0,221
2016-01,77.0,486
2016-01,78.0,298
2016-01,79.0,552
2016-01,81.0,435
2016-01,83.0,515
2016-01,84.0,405
2016-01,88.0,295
2016-01,90.0,519
2016-01,94.0,290
2016-02,60.0,434
2016-02,61.0,346
2016-02,62.0,396
2016-02,63.0,345
2016-02,66.0,340
2016-02,67.0,733
2016-02,68.0,398
2016-02,69.0,342
2016-02,70.0,537
2016-02,71.0,498
2016-02,72.0,358
2016-02,73.0,646
2016-02,75.0,1124
2016-02,76.0,189
2016-02,77.0,449
2016-02,78.0,296
2016-02,79.0,514
2016-02,81.0,425
2016-02,83.0,469
2016-02,84.0,387
2016-02,88.0,298
2016-02,90.0,459
2016-02,94.0,258
2016-03,60.0,505
2016-03,61.0,409
2016-03,62.0,437
2016-03,63.0,442
2016-03,66.0,376
2016-03,67.0,892
2016-03,68.0,447
2016-03,69.0,367
2016-03,70.0,630
2016-03,71.0,608
2016-03,72.0,456
2016-03,73.0,766
2016-03,75.0,1318
2016-03,76.0,220
2016-03,77.0,509
2016-03,78.0,328
2016-03,79.0,558
2016-03,81.0,427
2016-03,83.0,507
2016-03,84.0,415
2016-03,88.0,285
2016-03,90.0,506
2016-03,94.0,290
2016-04,60.0,472
2016-04,61.0,412
2016-04,62.0,464
2016-04,63.0,396
2016-04,66.0,398
2016-04,67.0,812
2016-04,68.0,401
2016-04,69.0,376
2016-04,70.0,602
2016-04,71.0,579
2016-04,72.0,450
2016-04,73.0,776
2016-04,75.0,1249
2016-04,76.0,223
2016-04,77.0,513
2016-04,78.0,313
2016-04,79.0,480
2016-04,81.0,436
2016-04,83.0,443
2016-04,84.0,387
2016-04,88.0,298
2016-04,90.0,479
2016-04,94.0,304
2016-05,60.0,465
2016-05,61.0,443
2016-05,62.0,489
2016-05,63.0,473
2016-05,66.0,361
2016-05,67.0,865
2016-05,68.0,417
2016-05,69.0,410
2016-05,70.0,638
2016-05,71.0,521
2016-05,72.0,438
2016-05,73.0,881
2016-05,75.0,1307
2016-05,76.0,256
2016-05,77.0,586
2016-05,78.0,360
2016-05,79.0,553
2016-05,81.0,427
2016-05,83.0,593
2016-05,84.0,478
2016-05,88.0,343
2016-05,90.0,590
2016-05,94.0,308
2016-06,60.0,542
2016-06,61.0,461
2016-06,62.0,507
2016-06,63.0,390
2016-06,66.0,342
2016-06,67.0,894
2016-06,68.0,425
2016-06,69.0,424
2016-06,70.0,625
2016-06,71.0,591
2016-06,72.0,434
2016-06,73.0,818
2016-06,75.0,1313
2016-06,76.0,223
2016-06,77.0,513
2016-06,78.0,357
2016-06,79.0,621
2016-06,81.0,445
2016-06,83.0,581
2016-06,84.0,446
2016-06,88.0,330
2016-06,90.0,567
2016-06,94.0,332
2016-07,60.0,604
2016-07,61.0,486
2016-07,62.0,439
2016-07,63.0,422
2016-07,66.0,364
2016-07,67.0,847
2016-07,68.0,399
