YR_M,Manhattan Precinct,MANHATTAN_precinct_Crime_Cnt
2014-06,9.0,468
2014-06,10.0,372
2014-06,13.0,584
2014-06,14.0,998
2014-06,17.0,254
2014-06,18.0,642
2014-06,19.0,505
2014-06,20.0,336
2014-06,22.0,58
2014-06,23.0,477
2014-06,24.0,427
2014-06,25.0,728
2014-06,26.0,275
2014-06,28.0,422
2014-06,30.0,395
2014-06,32.0,542
2014-06,33.0,384
2014-06,34.0,494
2014-07,1.0,531
2014-07,5.0,398
2014-07,6.0,475
2014-07,7.0,314
2014-07,9.0,508
2014-07,10.0,378
2014-07,13.0,620
2014-07,14.0,985
2014-07,17.0,239
2014-07,18.0,685
2014-07,19.0,525
2014-07,20.0,316
2014-07,22.0,51
2014-07,23.0,562
2014-07,24.0,463
2014-07,25.0,730
2014-07,26.0,248
2014-07,28.0,423
2014-07,30.0,433
2014-07,32.0,576
2014-07,33.0,357
2014-07,34.0,484
2014-08,1.0,506
2014-08,5.0,398
2014-08,6.0,430
2014-08,7.0,362
2014-08,9.0,478
2014-08,10.0,382
2014-08,13.0,663
2014-08,14.0,974
2014-08,17.0,278
2014-08,18.0,655
2014-08,19.0,538
2014-08,20.0,369
2014-08,22.0,59
2014-08,23.0,639
2014-08,24.0,385
2014-08,25.0,645
2014-08,26.0,262
2014-08,28.0,477
2014-08,30.0,425
2014-08,32.0,547
2014-08,33.0,322
2014-08,34.0,461
2014-09,1.0,511
2014-09,5.0,377
2014-09,6.0,451
2014-09,7.0,327
2014-09,9.0,483
2014-09,10.0,371
2014-09,13.0,621
2014-09,14.0,913
2014-09,17.0,244
2014-09,18.0,696
2014-09,19.0,503
2014-09,20.0,376
2014-09,22.0,38
2014-09,23.0,649
2014-09,24.0,373
2014-09,25.0,573
2014-09,26.0,261
2014-09,28.0,445
2014-09,30.0,341
2014-09,32.0,569
2014-09,33.0,321
2014-09,34.0,452
2014-10,1.0,523
2014-10,5.0,373
2014-10,6.0,476
2014-10,7.0,324
2014-10,9.0,487
2014-10,10.0,331
2014-10,13.0,591
2014-10,14.0,959
2014-10,17.0,245
2014-10,18.0,733
2014-10,19.0,592
2014-10,20.0,340
2014-10,22.0,34
2014-10,23.0,556
2014-10,24.0,393
2014-10,25.0,653
2014-10,26.0,284
2014-10,28.0,447
2014-10,30.0,397
2014-10,32.0,560
2014-10,33.0,328
2014-10,34.0,424
2014-11,1.0,436
2014-11,5.0,347
2014-11,6.0,421
2014-11,7.0,305
2014-11,9.0,433
2014-11,10.0,268
2014-11,13.0,513
2014-11,14.0,862
2014-11,17.0,230
2014-11,18.0,667
2014-11,19.0,466
2014-11,20.0,268
2014-11,22.0,20
2014-11,23.0,469
2014-11,24.0,367
2014-11,25.0,571
2014-11,26.0,242
2014-11,28.0,364
2014-11,30.0,352
2014-11,32.0,475
2014-11,33.0,354
2014-11,34.0,430
2014-12,1.0,411
2014-12,5.0,308
2014-12,6.0,304
2014-12,7.0,255
2014-12,9.0,391
2014-12,10.0,261
2014-12,13.0,515
2014-12,14.0,848
2014-12,17.0,237
2014-12,18.0,682
2014-12,19.0,447
2014-12,20.0,278
2014-12,22.0,12
2014-12,23.0,399
2014-12,24.0,323
2014-12,25.0,436
2014-12,26.0,176
2014-12,28.0,349
2014-12,30.0,313
2014-12,32.0,402
2014-12,33.0,267
2014-12,34.0,446
2015-01,1.0,403
2015-01,5.0,294
2015-01,6.0,350
2015-01,7.0,312
2015-01,9.0,422
2015-01,10.0,270
2015-01,13.0,491
2015-01,14.0,810
2015-01,17.0,187
2015-01,18.0,572
2015-01,19.0,463
2015-01,20.0,324
2015-01,22.0,14
2015-01,23.0,453
2015-01,24.0,375
2015-01,25.0,566
2015-01,26.0,192
2015-01,28.0,323
2015-01,30.0,306
2015-01,32.0,482
2015-01,33.0,322
2015-01,34.0,363
2015-02,1.0,353
2015-02,5.0,270
2015-02,6.0,300
2015-02,7.0,302
2015-02,9.0,370
2015-02,10.0,275
2015-02,13.0,490
2015-02,14.0,767
2015-02,17.0,208
2015-02,18.0,532
2015-02,19.0,382
2015-02,20.0,256
2015-02,22.0,8
2015-02,23.0,426
2015-02,24.0,326
2015-02,25.0,467
2015-02,26.0,173
2015-02,28.0,347
2015-02,30.0,280
2015-02,32.0,400
2015-02,33.0,319
2015-02,34.0,349
2015-03,1.0,418
2015-03,5.0,333
2015-03,6.0,383
2015-03,7.0,303
2015-03,9.0,462
2015-03,10.0,291
2015-03,13.0,543
2015-03,14.0,797
2015-03,17.0,261
2015-03,18.0,653
2015-03,19.0,455
2015-03,20.0,307
2015-03,22.0,13
2015-03,23.0,524
2015-03,24.0,353
2015-03,25.0,624
2015-03,26.0,236
2015-03,28.0,379
2015-03,30.0,318
2015-03,32.0,535
2015-03,33.0,320
2015-03,34.0,452
2015-04,1.0,485
2015-04,5.0,341
2015-04,6.0,402
2015-04,7.0,316
2015-04,9.0,457
2015-04,10.0,300
2015-04,13.0,673
2015-04,14.0,855
2015-04,17.0,238
2015-04,18.0,620
2015-04,19.0,509
2015-04,20.0,327
2015-04,22.0,33
2015-04,23.0,495
2015-04,24.0,419
2015-04,25.0,598
2015-04,26.0,240
2015-04,28.0,446
2015-04,30.0,402
2015-04,32.0,548
2015-04,33.0,346
2015-04,34.0,445
2015-05,1.0,472
2015-05,5.0,383
2015-05,6.0,445
2015-05,7.0,321
2015-05,9.0,468
2015-05,10.0,320
2015-05,13.0,609
2015-05,14.0,930
2015-05,17.0,220
2015-05,18.0,630
2015-05,19.0,557
2015-05,20.0,339
2015-05,22.0,56
2015-05,23.0,573
2015-05,24.0,426
2015-05,25.0,773
2015-05,26.0,269
2015-05,28.0,513
2015-05,30.0,375
2015-05,32.0,592
2015-05,33.0,322
2015-05,34.0,444
2015-06,1.0,496
2015-06,5.0,338
2015-06,6.0,444
2015-06,7.0,337
2015-06,9.0,437
2015-06,10.0,316
2015-06,13.0,618
2015-06,14.0,859
2015-06,17.0,235
2015-06,18.0,636
2015-06,19.0,523
2015-06,20.0,342
2015-06,22.0,59
2015-06,23.0,602
2015-06,24.0,382
2015-06,25.0,624
2015-06,26.0,225
2015-06,28.0,407
2015-06,30.0,362
2015-06,32.0,586
2015-06,33.0,351
2015-06,34.0,496
2015-07,1.0,517
2015-07,5.0,391
2015-07,6.0,434
2015-07,7.0,357
2015-07,9.0,494
2015-07,10.0,357
2015-07,13.0,679
2015-07,14.0,887
2015-07,17.0,299
2015-07,18.0,748
2015-07,19.0,562
2015-07,20.0,360
2015-07,22.0,64
2015-07,23.0,656
2015-07,24.0,383
2015-07,25.0,629
2015-07,26.0,281
2015-07,28.0,442
2015-07,30.0,401
2015-07,32.0,611
2015-07,33.0,327
2015-07,34.0,528
2015-08,1.0,484
2015-08,5.0,374
2015-08,6.0,502
2015-08,7.0,403
2015-08,9.0,528
2015-08,10.0,398
2015-08,13.0,630
2015-08,14.0,994
2015-08,17.0,265
2015-08,18.0,688
2015-08,19.0,499
2015-08,20.0,346
2015-08,22.0,57
2015-08,23.0,555
2015-08,24.0,429
2015-08,25.0,697
2015-08,26.0,278
2015-08,28.0,436
2015-08,30.0,365
2015-08,32.0,562
2015-08,33.0,393
2015-08,34.0,512
2015-09,1.0,489
2015-09,5.0,416
2015-09,6.0,433
2015-09,7.0,352
2015-09,9.0,488
2015-09,10.0,329
2015-09,13.0,657
2015-09,14.0,810
2015-09,17.0,255
2015-09,18.0,645
2015-09,19.0,430
2015-09,20.0,337
2015-09,22.0,15
2015-09,23.0,581
2015-09,24.0,393
2015-09,25.0,700
2015-09,26.0,270
2015-09,28.0,445
2015-09,30.0,358
2015-09,32.0,561
2015-09,33.0,310
2015-09,34.0,485
2015-10,1.0,522
2015-10,5.0,373
2015-10,6.0,453
2015-10,7.0,353
2015-10,9.0,473
2015-10,10.0,303
2015-10,13.0,681
2015-10,14.0,928
2015-10,17.0,250
2015-10,18.0,711
2015-10,19.0,486
2015-10,20.0,341
2015-10,22.0,22
2015-10,23.0,535
2015-10,24.0,400
2015-10,25.0,562
2015-10,26.0,252
2015-10,28.0,433
2015-10,30.0,402
2015-10,32.0,585
2015-10,33.0,307
2015-10,34.0,461
2015-11,1.0,456
2015-11,5.0,373
2015-11,6.0,393
2015-11,7.0,358
2015-11,9.0,458
2015-11,10.0,320
2015-11,13.0,538
2015-11,14.0,957
2015-11,17.0,256
2015-11,18.0,720
2015-11,19.0,462
2015-11,20.0,285
2015-11,22.0,18
2015-11,23.0,461
2015-11,24.0,364
2015-11,25.0,464
2015-11,26.0,219
2015-11,28.0,356
2015-11,30.0,326
2015-11,32.0,503
2015-11,33.0,298
2015-11,34.0,454
2015-12,1.0,562
2015-12,5.0,355
2015-12,6.0,429
2015-12,7.0,333
2015-12,9.0,454
2015-12,10.0,304
2015-12,13.0,512
2015-12,14.0,919
2015-12,17.0,272
2015-12,18.0,771
2015-12,19.0,546
2015-12,20.0,270
2015-12,22.0,26
2015-12,23.0,490
2015-12,24.0,398
2015-12,25.0,492
2015-12,26.0,199
2015-12,28.0,425
2015-12,30.0,302
2015-12,32.0,550
2015-12,33.0,289
2015-12,34.0,497
2016-01,1.0,501
2016-01,5.0,365
2016-01,6.0,407
2016-01,7.0,354
2016-01,9.0,451
2016-01,10.0,304
2016-01,13.0,535
2016-01,14.0,848
2016-01,17.0,274
2016-01,18.0,625
2016-01,19.0,485
2016-01,20.0,324
2016-01,22.0,6
2016-01,23.0,576
2016-01,24.0,385
2016-01,25.0,531
2016-01,26.0,220
2016-01,28.0,453
2016-01,30.0,344
2016-01,32.0,517
2016-01,33.0,260
2016-01,34.0,467
2016-02,1.0,440
2016-02,5.0,319
2016-02,6.0,319
2016-02,7.0,284
2016-02,9.0,395
2016-02,10.0,319
2016-02,13.0,531
2016-02,14.0,781
2016-02,17.0,251
2016-02,18.0,550
2016-02,19.0,431
2016-02,20.0,267
2016-02,22.0,11
2016-02,23.0,488
2016-02,24.0,394
2016-02,25.0,493
2016-02,26.0,187
2016-02,28.0,393
2016-02,30.0,277
2016-02,32.0,445
2016-02,33.0,294
2016-02,34.0,393
2016-03,1.0,503
